Player_Name,Team,Position,Games_Played,Minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,three_points,three_points_attempted,Three_points_percentage,Free_throw,Free_throw_attempt,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Total_rebounds,Assists,Steals,Turnovers,Blocks,Personal_fouls,PTS,Playmaking,Shooting,Offense,All_Around,Defense
Earl Barron,WAS,C,11,11.1,1.2,3.4,35.1,0,0,0,0.2,0.5,40,1.5,2.5,3.9,0.3,0.5,0.9,0.5,2.1,2.5,-6.306306306,0.353178607,0.56,5,3.5
Earl Clark,LAL,SF,58,22.9,2.8,6.5,43.7,0.6,1.7,33.7,0.9,1.3,68.9,1.4,4.1,5.5,1.1,0.6,1,0.7,1.7,7.2,-1.164483261,0.509756098,0.884656085,10.81034483,5.4
Earl Watson,UTH,PG,48,17.2,0.8,2.5,30.8,0.1,0.6,17.9,0.4,0.5,68,0.5,1.3,1.8,4,0.8,1.4,0.2,2,2,7.364341085,0.367647059,0.48241206,5.791666667,2.3
Ed Davis,TOR,PF,45,24.2,4.1,7.5,54.9,0,0,0,1.5,2.3,64.7,2.1,4.6,6.7,1.2,0.6,1,0.8,2.5,9.7,-0.826446281,0.569366271,1.004597701,15.42222222,6
Eddy Curry,DAL,C,2,12.5,2,4,50,0,0,0,0.5,2,25,1,1,2,0,0,1.5,0,3.5,4.5,-12,0.461065574,0.692307692,4.5,1
Ekpe Udoh,MIL,PF,75,17.3,1.5,3.5,43.2,0,0,0,1.2,1.6,74.8,1.5,1.8,3.3,0.6,0.5,0.6,1.1,1.8,4.3,-1.156069364,0.51139962,0.877717391,7.626666667,3.4
Elton Brand,DAL,PF,72,21.3,3.1,6.6,47.3,0,0,0,0.9,1.3,71,1.8,4.2,6,1,0.7,0.8,1.3,2.7,7.2,-0.625978091,0.501588039,0.893103448,12.29166667,6.2
Emeka Okafor,WAS,C,80,26,4.1,8.8,47.3,0,0,0,1.4,2.4,57.5,2.5,6.3,8.8,1.2,0.6,1.4,1,1.9,9.7,-2.307692308,0.492086039,0.850877193,16.2,7.9
Enes Kanter,UTH,C,70,15.4,3,5.4,54.5,0,0,100,1.3,1.7,79.5,1.9,2.4,4.3,0.4,0.4,1.4,0.5,1.7,7.3,-7.359307359,0.593689005,0.954248366,9.5,3.3
Eric Bledsoe,LAC,PG,76,20.4,3.3,7.5,44.5,0.4,1,39.7,1.4,1.8,79.1,1,1.9,3,3.1,1.4,1.8,0.7,1.5,8.5,1.307189542,0.512470648,0.833010961,11.09210526,4
Eric Gordon,NOR,SG,40,30.5,5.8,14.3,40.4,1.4,4.1,32.7,4.4,5.3,83.3,0.3,1.6,1.9,3.3,1.1,2.7,0.2,1.8,17.2,-1.639344262,0.517075517,0.875318066,13.4,2.9
Ersan Ilyasova,MIL,SF,73,27.5,5.1,11,46.3,1.3,2.9,43.7,1.7,2.2,79.2,2.1,5,7.1,1.6,0.9,1,0.5,2.5,13.2,0.242424242,0.551588391,1.007841087,16.91780822,6.4
E'Twaun Moore,ORL,SG,74,22.5,3.2,8,39.9,0.9,2.6,34.2,0.6,0.8,78.9,0.6,1.6,2.2,2.7,0.7,1.4,0.3,1.6,7.9,1.777777778,0.473331607,0.806340455,7.810810811,2.6
